uid,text
99218fd19f71-15,Page 10
99218fd19f71-16,Sonu and Monu ran to Gonu's house.
99218fd19f71-17,The wolf came to Goun's house.
99218fd19f71-18,"He said, I will huff and puff and I will blow your house down. So he huffed and he puffed."
99218fd19f71-19,But he could not blow the brick house down. It was very strong.
99218fd19f71-20,"The wolf went away and Sonu, Monu and Gonu lived happily together in the red break house."
99218fd19f71-21,New words that we learned from this story.
99218fd19f71-22,and Bad.
99218fd19f71-23,big
99218fd19f71-24,But not
99218fd19f71-25,One. pig.
99218fd19f71-26,the was
99218fd19f71-27,Now let's read.
99218fd19f71-28,The wolf was big and bad.
99218fd19f71-29,The pig was not big.
99218fd19f71-30,page ten
99218fd19f71-31,Reading is fun.
99218fd19f71-32,How many pigs were there?
99218fd19f71-33,What did the big wolf say to the pigs?
99218fd19f71-34,Let's talk.
99218fd19f71-35,Was the wolf good or bad?
99218fd19f71-36,What is your house made of?
99218fd19f71-37,Let's share
99218fd19f71-38,Who is good? Who is bad? Here you can see...
99218fd19f71-39,Picture of a pig wearing a red t-shirt and green pants.
99218fd19f71-40,He is smiling happily.
99218fd19f71-41,And then there is a picture of a wolf.
99218fd19f71-42,"Standing upright with his arms folded, with his gruesome tail, and his teeth outside."
99218fd19f71-44,Let's act.
99218fd19f71-45,Imagine you are at home when the wolf huffs and puffs.
99218fd19f71-47,Act out the story of the wolf and three pigs.
99218fd19f71-48,page 11 Say aloud
99218fd19f71-49,2 2 3 4 5 6 Now let's draw.
99218fd19f71-50,"Join the dots from 1 to 10 to make the house. Then, color the picture."
99218fd19f71-52,Here you can see a half made house with some windows and doors and a chimney showing with some lines.
99218fd19f71-53,then you have to connect the dots from 1 to 10 to make the house.
99218fd19f71-54,page 13
99218fd19f71-55,"There are farm animals, water animals."
99218fd19f71-56,and jungle animals in this picture.
99218fd19f71-57,"help the animals, reach their homes."
99218fd19f71-58,Draw lines.
99218fd19f71-59,Here you can see picture of a horse. A hen.
99218fd19f71-60,A dog. A crocodile.
99218fd19f71-61,A frog.
99218fd19f71-62,A bear.
99218fd19f71-63,and buffalo
99218fd19f71-64,And then there is a picture of a farm with a cow and a goat.
99218fd19f71-65,You can see apple trees behind.
99218fd19f71-66,Pge 13. Here you can see picture of a cow. A monkey.
99218fd19f71-67,a giraffe and rhinoceros.
99218fd19f71-68,And here you can see a picture of a jungle with a lion standing alone.
99218fd19f71-69,"Also, you can see a picture of a pond with some flowers, fishes and shrubs around."
99218fd19f71-70,And now let's sing!
99218fd19f71-71,Bow wow says the dog.
99218fd19f71-72,Mew Mew says the cat.
99218fd19f71-73,"Bleat Bleat, says the goat."
99218fd19f71-74,"Roar Roar, says the lion"
99218fd19f71-75,"Hello, hello, says the child."
c02914d169b6-1,Page 15
c02914d169b6-2,Poem! A happy child!
c02914d169b6-3,"Story, three little pigs."
c02914d169b6-4,Teachers pages Unit 2
c02914d169b6-5,The emphasis in this book is on developing language skills by using the mother tongue in the initial stages.
c02914d169b6-6,The teacher's encouragement and motivation are very important.
c02914d169b6-7,Children are curious and love to try things in their own little ways.
c02914d169b6-8,Do not correct their mistakes.
c02914d169b6-9,Focus on the process of learning and remember that the child needs to be given activities that are exciting and stimulating.
c02914d169b6-10,The first unit is about introducing the child to a process of learning.
c02914d169b6-11,Following the concept from near to far. Allow them.
c02914d169b6-12,"to talk and help them to express their thoughts by use of their mother tongue, visuals,"
c02914d169b6-13,"Pictures, sketches, single-word questions."
c02914d169b6-14,and answers.
c02914d169b6-15,"As you introduce the text, both the poem and the story, encourage all the children to participate."
c02914d169b6-16,Develop listening skills
c02914d169b6-17,"Read the poem, Story, Allow to the Children."
c02914d169b6-18,Read it with emphasis on clear speech and correct pauses at commas and full stops.
c02914d169b6-19,Develop pronunciation
c02914d169b6-20,Let the children read aloud after you. Make them repeat.
c02914d169b6-21,blow
c02914d169b6-22,Flow. Glow.
c02914d169b6-23,Brick Kick
c02914d169b6-24,Stick
c02914d169b6-25,Huff. Puff. Stuff.
c02914d169b6-26,Exposure to language
c02914d169b6-27,Use sight words in the classroom by putting visuals and cue cards.
c02914d169b6-28,Let children read these.
c02914d169b6-29,B-A-D bad.
c02914d169b6-30,S-A-D sad
c02914d169b6-31,"B-E-D, bed."
c02914d169b6-32,R-E-D red
c02914d169b6-33,B-I-G BIG!
c02914d169b6-34,D-I-G DIG
c02914d169b6-35,C-O-T COT
c02914d169b6-36,H-O-T hot
c02914d169b6-37,B-U-N-BUN
c02914d169b6-38,S-U-N Sun
c02914d169b6-39,Develops speaking skills.
c02914d169b6-40,1. Encourage children to walk and jump like different animals.
c02914d169b6-41,"Let them make the sound of huff, puff, etc. with force. 2."
c02914d169b6-42,Write two letter words on the blackboard.
c02914d169b6-43,such as am. He. In. Is. It.
c02914d169b6-44,me. My. So.
c02914d169b6-45,and start a contextual conversation by saying
c02914d169b6-46,She is a girl.
c02914d169b6-47,I am a teacher.
c02914d169b6-48,Please give me a pencil.
c02914d169b6-49,He is a boy.
c02914d169b6-50,You are so far away.
c02914d169b6-51,It is a warm or cold day. etc.
c02914d169b6-52,provide opportunities to children for working and playing together.
c02914d169b6-53,in small groups.
c02914d169b6-54,page 15 it will promote
c02914d169b6-55,"interaction, togetherness and team spirit besides encouragement for natural expressions."
c02914d169b6-56,3. Conversation based on roleplay
c02914d169b6-57,Divide your class into four groups. Red-
c02914d169b6-58,"yellow, blue, green"
c02914d169b6-59,Let each group make a house.
c02914d169b6-60,"Red, a hut. Blue, a flat"
c02914d169b6-62,yellow bunglow
c02914d169b6-63,Green
c02914d169b6-64,an igloo
c02914d169b6-65,Red and blue groups have to talk about all the objects in their houses.
c02914d169b6-66,Yellow and green groups have to talk about or check around their houses.
c02914d169b6-67,Method. Each group uses low cost
c02914d169b6-68,"waste material as for example newspapers, cardboard, grass, leaves, matchsticks etc."
c02914d169b6-69,"to draw, sketch, construct or act out a scene from the house."
c02914d169b6-70,Material required.
c02914d169b6-71,Boxes
c02914d169b6-72,"Old cartons for collecting leaves, twigs."
c02914d169b6-73,"pencils, spoons, beads, string, etc."
c02914d169b6-74,Develop writing skills or find motor coordination.
c02914d169b6-75,Writing needs practice before it becomes spontaneous and neat.
c02914d169b6-76,In making the strokes show the child how to...
c02914d169b6-77,to hold the pencil and use it safely.
c02914d169b6-78,encourage children to make different patterns or basic strokes by drawing them.
c02914d169b6-79,on the blackboard. Slate paper.
c02914d169b6-80,Put two letter and three letter words on flashcards and show them to the children.
c02914d169b6-81,Let them recognise the words
c02914d169b6-82,Raising awareness
c02914d169b6-83,Talk about turning off taps and not wasting water.
117db0aadb7a-1,page 16 Unit 3
117db0aadb7a-2,After a bath.
117db0aadb7a-3,Enjoy this poem. After my bath.
117db0aadb7a-4,"I try, try, try. To wipe myself."
117db0aadb7a-5,"Till I'm dry, dry, dry. Hands to wipe."
117db0aadb7a-6,and fingers and toes.
117db0aadb7a-7,and two wet legs
117db0aadb7a-8,and a shiny nose. Just think how much.
117db0aadb7a-9,"Less time I'd take, if I were a dog."
117db0aadb7a-10,"and could shake, shake, shake!"
117db0aadb7a-11,by Aileen Fisher.
117db0aadb7a-12,New words Dog
117db0aadb7a-13,How? Met. Try.
117db0aadb7a-14,2. Let's read.
117db0aadb7a-15,I try to save water.
117db0aadb7a-16,I have two ears. Two legs.
117db0aadb7a-17,Ten toes and one nose.
117db0aadb7a-18,page 18
117db0aadb7a-19,Let's talk!
117db0aadb7a-20,Do you like to have a bath? Say why.
117db0aadb7a-21,Can you bathe yourself?
117db0aadb7a-22,How do you dry yourself?
117db0aadb7a-23,Have you seen an animal drawing itself? Let's share!
117db0aadb7a-24,Put a circle around what you do after a bath.
117db0aadb7a-25,throw the wet towel on the floor.
117db0aadb7a-26,Hang the wet towel to dry.
117db0aadb7a-27,Here you can see a picture of a towel lying on the floor and one drying on the cloth line.
117db0aadb7a-28,Do wear these things.
117db0aadb7a-29,Draw lines from the picture to the word.
117db0aadb7a-30,A. shirt. B.
117db0aadb7a-31,Socks.
117db0aadb7a-32,C Cap
117db0aadb7a-33,D trousers
117db0aadb7a-34,e. belt. f. shoes.
117db0aadb7a-35,Here you can see pictures of pants.
117db0aadb7a-36,A shirt.
117db0aadb7a-37,shoes
117db0aadb7a-38,and socks. and a cap.
117db0aadb7a-39,"Then, a belt."
117db0aadb7a-40,Riddle time.
117db0aadb7a-41,I have teeth so sharp.
117db0aadb7a-42,But I never bite.
117db0aadb7a-43,What am I?
117db0aadb7a-44,Answer A comb
117db0aadb7a-45,Page 18 Let's do!
117db0aadb7a-46,Match the following to make pairs.
117db0aadb7a-47,One has been done for you.
117db0aadb7a-48,On the left side you can see a needle
117db0aadb7a-49,is matched with the thread. And on the left side...
117db0aadb7a-50,There is a list of names. Bat...
117db0aadb7a-51,socks shirt
117db0aadb7a-52,Bowl. And on the right side you can see shoes.
117db0aadb7a-53,"Shorts, thread."
117db0aadb7a-54,Spoon Ball
117db0aadb7a-55,"Now, let's draw."
117db0aadb7a-56,Draw or stick a picture of yourself and your friend here.
117db0aadb7a-57,"Then, complete the sentences and say them loud."
117db0aadb7a-58,My name is and then write your name here. And then...
117db0aadb7a-59,paste a picture.
117db0aadb7a-60,My friend's name is write name of your friend and then
117db0aadb7a-61,paste a Picture
117db0aadb7a-62,Page 20
117db0aadb7a-63,Trace the path to the flowers. Here you can see.
117db0aadb7a-64,A yellow and blue butterfly.
117db0aadb7a-65,trying to reach to a flower nearby.
117db0aadb7a-66,Now connect the dots to help her reach there.
117db0aadb7a-67,Now do the same for the Bee.
117db0aadb7a-68,Connect the dots to help her reach the flowers.
117db0aadb7a-69,and do the same for the other butterfly.
117db0aadb7a-70,page 21
117db0aadb7a-71,Learn to write. Now.
117db0aadb7a-72,Connect the dots to write small E and F.
117db0aadb7a-73,Trace over the waves and color the fish. Here you can see.
117db0aadb7a-74,a fish underwater. now.
117db0aadb7a-75,Connect the dots to make waves.
117db0aadb7a-76,and fill the beautiful fish with different colors. And now...
117db0aadb7a-77,Connect the dots to write small u and then small v and small w.
117db0aadb7a-78,say aloud. A. B.
117db0aadb7a-79,"C, D, E, F."
fbd474720a91-1,Page 22
fbd474720a91-2,"The bubble, the straw and the shoe."
fbd474720a91-3,Listen and enjoy this story.
fbd474720a91-4,"Once upon a time, there lived a bubble, a straw and a shoe."
fbd474720a91-5,"One day, they went into the forest. They came to a river."
fbd474720a91-6,They did not know how to cross it.
fbd474720a91-8,"The shoe said, Bubble, let us float on you."
fbd474720a91-10,Page 23
fbd474720a91-11,"No shoe, let straw, stretch himself from one bank to the other. Then we can cross the river."
fbd474720a91-12,"So, the straw stretched himself from one bank to the other."
fbd474720a91-13,"When the shoe jumped on the straw, it broke."
fbd474720a91-14,The shoe fell into the water with a loud splash. The bubble shook and shook with laughter and burst with a big bang.
fbd474720a91-15,by Alexei Tolstoy
fbd474720a91-16,New words learnt from the story. Bank.
fbd474720a91-17,Bubble
fbd474720a91-18,Burst. Cross.
fbd474720a91-19,River Shoes
fbd474720a91-20,Splash!
fbd474720a91-21,Let's read.
fbd474720a91-22,I can blow bubbles!
fbd474720a91-23,I can wear shoes.
fbd474720a91-24,Page 24
fbd474720a91-25,Reading is fun!
fbd474720a91-26,Name the three friends.
fbd474720a91-27,Where did they go one day?
fbd474720a91-28,What did they want to do? Let's talk!
fbd474720a91-29,How do you make bubbles?
fbd474720a91-30,What do you wear on your feet?
fbd474720a91-31,How would you cross the river?
fbd474720a91-32,Let's share. Put these doing words into the sentences. Jumped.
fbd474720a91-33,Shook
fbd474720a91-34,stretched burst
fbd474720a91-35,"the straw, dash, blank, himself from one bank to the other."
fbd474720a91-36,"the shoe, dash, blank on the straw."
fbd474720a91-37,"The bubble dash, blank and dash, blank with laughter and dash, blank with a big bang."
fbd474720a91-38,Let's draw.
fbd474720a91-39,"Trace the journey of a tadpole. Here you can see picture of a puddle, a pond, a lake and a river."
fbd474720a91-40,The tadpole is jumping from the puddle.
fbd474720a91-41,"Connect the dots to make the tadpole reach its final stage so that you can say, I am a frog now."
fbd474720a91-42,page 24.
fbd474720a91-43,Draw the bubbles.
fbd474720a91-44,Trace and say the letters aloud.
fbd474720a91-45,Here you can see a picture of a boy blowing bubbles from soap water. And now
fbd474720a91-46,"Here in a green circle, you can see a picture of a small letter A."
fbd474720a91-47,And then in a blue bubble you can see the letter C. Can you? Now connect the dots to make the letter.
fbd474720a91-48,And in a purple circle you can see a small letter B. Connect the dots.
fbd474720a91-49,to write B. In another green big circle you can see this small letter f. Can you now connect the dots and write the letter?
fbd474720a91-50,In a small blue circle you can see small letter E.
fbd474720a91-51,Connect the dots to write E.
fbd474720a91-52,"In another green circle, you can see the small letter D. Connect the dots to write the letter."
fbd474720a91-53,In the same way in a yellow circle you can see small letter H. Connect the dots to complete H.
fbd474720a91-54,"In an orange circle, you can see small letter G."
fbd474720a91-55,Connect the dots to write the letter.
fbd474720a91-56,Now it's turned for I. Connect the dots to complete I.
fbd474720a91-57,In a purple circle you can see small letter J. You can see it right? Now connect the dots to write the letter.
fbd474720a91-58,Now let's sing!
fbd474720a91-59,"Hop a little, jump a little, one, two, three."
fbd474720a91-60,"Run a little, skip a little, tap 1 knee."
fbd474720a91-61,"Bend a little, stretch a little, nod your head. Yawn a little, sleep a little, in your bed."
fbd474720a91-62,page 25.
fbd474720a91-63,Match the balls with their numbers. Now trace the numbers.
fbd474720a91-64,On the left side you can see seven balls and then eight balls. Then there is nine balls and ten balls.
fbd474720a91-65,"And on the right side, you can see some dotted lines. Now connect the dots to complete numbers 8."
fbd474720a91-66,10 `7 `9
fbd474720a91-67,Think time. Look at these objects.
fbd474720a91-68,Put them into a tub of water.
fbd474720a91-69,Say which one will float and which one will sink.
fbd474720a91-70,Like Ribbon feather
fbd474720a91-71,marble
fbd474720a91-72,leaf
fbd474720a91-73,Stone. Stick.
fbd474720a91-74,Paper
fbd474720a91-75,straw shoes
fbd474720a91-76,spoon
fbd474720a91-77,Page 26. Learn to write.
fbd474720a91-78,Draw the well.
fbd474720a91-79,Color it.
fbd474720a91-80,and see the rhyme aloud.
fbd474720a91-81,Here you can see picture of a well with a rope hanging out and a bell hanging on the rope. The bell is already colored for you. All you have to do is
fbd474720a91-82,connect the dots and color the picture.
fbd474720a91-83,"Now, sing."
fbd474720a91-84,"A bell fell in the well, ding dong ding dong bell"
83b6ac4a3d19-1,Page 28
83b6ac4a3d19-2,Poem after a bath.
83b6ac4a3d19-3,Story The Bubble
83b6ac4a3d19-4,the straw and the shoe.
83b6ac4a3d19-5,Teacher's pages
83b6ac4a3d19-6,Unit 3
83b6ac4a3d19-7,Conversation is a very important and natural activity.
83b6ac4a3d19-8,for the development of vocabulary and
83b6ac4a3d19-9,speech patterns. in unit 3
83b6ac4a3d19-10,involve all the children in these joyful interactive sessions.
83b6ac4a3d19-11,Encourage them with phrases such as
83b6ac4a3d19-12,Please try or...
83b6ac4a3d19-13,"Oh, you're so good!"
83b6ac4a3d19-14,appreciate every child's efforts and ensure a
83b6ac4a3d19-15,a feeling of success for all the children.
83b6ac4a3d19-16,Consider the abilities of each child.
83b6ac4a3d19-17,Develop listening skills
83b6ac4a3d19-18,Practise the poem and say it aloud to the children.
83b6ac4a3d19-19,Read this story with emphasis on new words and enable them to bring experiences into reading for understanding and enriching their imagination.
83b6ac4a3d19-20,Develop pronunciation.
83b6ac4a3d19-21,Read the text and see aloud with the children.
83b6ac4a3d19-22,cry dry
83b6ac4a3d19-23,try dog
83b6ac4a3d19-24,Fog!
83b6ac4a3d19-25,log
83b6ac4a3d19-26,Dine. Fine.
83b6ac4a3d19-27,Mine Cake
83b6ac4a3d19-28,Shake! Take
83b6ac4a3d19-29,Exposure to language
83b6ac4a3d19-30,Use sight words in classroom by putting visuals and cue cards.
83b6ac4a3d19-31,Let the child read these. DRAW Draw. S-T-R-A-W straw
83b6ac4a3d19-32,H-E-N Hen
83b6ac4a3d19-33,P-E-N-PEN
83b6ac4a3d19-34,P-I-T PIT
83b6ac4a3d19-35,W-I-T WIT
83b6ac4a3d19-36,D-O-G DOG
83b6ac4a3d19-37,L-O-G-Log
83b6ac4a3d19-38,"B-L-U-E, blue."
83b6ac4a3d19-39,G-L-U-E-Glue.
83b6ac4a3d19-40,Develop speaking skills.
83b6ac4a3d19-41,1
83b6ac4a3d19-42,Have a talk on brushing teeth. Washing hands
83b6ac4a3d19-43,hygiene etc. 2.
83b6ac4a3d19-44,Conversation based on roleplay.
83b6ac4a3d19-45,"Divide the class into four groups. Red, yellow."
83b6ac4a3d19-46,"blue, green"
83b6ac4a3d19-47,group red. Let them say.
83b6ac4a3d19-48,I try to save water.
83b6ac4a3d19-49,as they wipe themselves with towels. Group Blue.
83b6ac4a3d19-50,involve the children in an activity. Say for example.
83b6ac4a3d19-51,Cleaning the cobwebs with sticks.
83b6ac4a3d19-52,or mops are tidying the classrooms or class cupboard.
83b6ac4a3d19-53,Let them say I try to clean my space. Group Yellow.
83b6ac4a3d19-54,Mix some soap in a bowl of water.
83b6ac4a3d19-55,Stir it to build up bubbles.
83b6ac4a3d19-56,Use it for the floating or sinking activity if you like. group green
83b6ac4a3d19-57,"Let them pick up papers, wrappers, etc. from the school playground and put them into dust bins."
83b6ac4a3d19-58,All groups are to make cutouts which can be hung in the class.
83b6ac4a3d19-59,Outdoors
83b6ac4a3d19-60,on the doors
83b6ac4a3d19-61,on the walls
83b6ac4a3d19-62,on the trees.
83b6ac4a3d19-63,Page 29
83b6ac4a3d19-64,Imagine you are walking down a street and you see a friend far away.
83b6ac4a3d19-65,Wave out and call your friend.
83b6ac4a3d19-66,Develop writing skills.
83b6ac4a3d19-67,"Fine, motor coordination."
83b6ac4a3d19-68,2 A
83b6ac4a3d19-69,Right on the blackboard. A E.
83b6ac4a3d19-70,I O U
83b6ac4a3d19-71,and 1 to 10.
83b6ac4a3d19-72,Let the child write numbers and trace a few letters.
83b6ac4a3d19-73,These are the child's attempts at writing.
83b6ac4a3d19-74,The teacher can gradually lead the child.
83b6ac4a3d19-75,to proper formation of letters.
83b6ac4a3d19-76,Also provide each child with a comfortable writing position.
83b6ac4a3d19-77,adequate space and an appreciative atmosphere. B
83b6ac4a3d19-78,Each child's grip on the pencil and appropriate coloring within lines must be looked into. C.
83b6ac4a3d19-79,Use activity sheets.
83b6ac4a3d19-80,"To further encourage the patterns as on pages 19, 20, 23, 24, 25 and 26 and numbers 1 to 10. Here co-ordinate"
83b6ac4a3d19-81,with the Maths Teacher.
83b6ac4a3d19-82,"However, do not force the child. 3"
83b6ac4a3d19-83,Enact a situation.
83b6ac4a3d19-84,When your writing hand is hurt.
83b6ac4a3d19-85,and you have to write.
83b6ac4a3d19-86,"3. Show children how to open and close buttons, zip and tie shoe laces."
83b6ac4a3d19-87,Material required.
83b6ac4a3d19-88,Any old clothes with buttons
83b6ac4a3d19-90,purse or bag with a zip.
83b6ac4a3d19-91,Shoes with laces. raising awareness.
83b6ac4a3d19-92,"Talk to the children about switching off lights, fans."
83b6ac4a3d19-93,etc.
77e29639c256-0,Unit 4
77e29639c256-1,Page 30
77e29639c256-2,One little kitten. Listen and enjoy this poem.
77e29639c256-3,One little kitten.
77e29639c256-4,Two big cats. Three baby butterflies.
77e29639c256-5,5 big rats
77e29639c256-6,6 fat fishes
77e29639c256-7,Six sad seals
77e29639c256-8,8 silly seagulls
77e29639c256-9,9 Happy Eels 9 Nervous Lizards 10 Brave Bees
77e29639c256-10,12 Smelly Elephants
77e29639c256-11,13 fat flees!
77e29639c256-12,14 Alligators
77e29639c256-13,"15 whales, 15 donkeys."
77e29639c256-14,with 15 tails. by Carolyn Graham.
77e29639c256-15,New words learnt from this poem.
77e29639c256-16,Cat. Fat. Rat.
77e29639c256-17,Sad. 10.
77e29639c256-18,Now let's read.
77e29639c256-19,A fat cat saw a rat.
77e29639c256-20,page 30.
77e29639c256-21,Reading is fun!
77e29639c256-22,How many kinds of creatures are there in the poem?
77e29639c256-23,Are the seals happy? Now let's talk.
77e29639c256-24,Where do the fish live?
77e29639c256-25,What are the other things found in water?
77e29639c256-26,There are many creatures in the poem.
77e29639c256-27,Which ones have you seen?
77e29639c256-28,Tell us about when you feel sad. Happy!
77e29639c256-29,Brave. Nervous. Let's share.
77e29639c256-30,Make faces to show your feelings to your friends.
77e29639c256-31,Here in the picture you can see a boy wearing blue shirt.
77e29639c256-32,Feeling sad.
77e29639c256-33,"And then there is picture of a boy in a green t-shirt, feeling very brave with his arms raised."
77e29639c256-34,Then there is picture of a boy shaking and trembling because he's feeling nervous.
77e29639c256-35,"And then there is picture of a girl, she is smiling because..."
77e29639c256-36,She is feeling happy.
77e29639c256-37,Page 31 Let's draw.
77e29639c256-38,Look at the pictures of the animals given below and
77e29639c256-39,underline them in the poem.
77e29639c256-40,Then trace the letters.
77e29639c256-41,Here you can see picture of a kitten.
77e29639c256-42,And then there is a line to show you how to connect the dots.
77e29639c256-43,to draw K.
77e29639c256-44,Then there is picture of a butterfly.
77e29639c256-45,and then you have to connect some dots to write the letter B.
77e29639c256-46,for a butterfly.
77e29639c256-47,And now you can see a cat. Now connect the dots.
77e29639c256-48,to make the letter C for a cat.
77e29639c256-49,"Yes, now you can see a rat."
77e29639c256-50,and there are some dots to connect letter R.
77e29639c256-51,R for rat.
77e29639c256-52,Now there is a beautiful fish. There are some dots to complete letter F.
77e29639c256-53,F for fish.
77e29639c256-54,And now there is a seal.
77e29639c256-55,There are some dots given to complete the letter S. For SeAL
77e29639c256-56,"And you know, you can also connect the dots once again to make the letter S, S for seagull."
77e29639c256-57,"Then there is small letter E, E for Eel. Connect the dots to make the letter."
77e29639c256-58,"Connect the dots once again to make the small letter L, L for lizard."
77e29639c256-59,Now you can see a beautiful picture of a little bee.
77e29639c256-60,There are dots given to complete the alphabet. B for Bee. Now you can see.
77e29639c256-61,E for elephant
77e29639c256-62,Connect the dots to complete the letter E.
77e29639c256-64,F for flea. Connect the dots to make the letter.
77e29639c256-65,A for alligator. Connect the dots to make the letter A.
77e29639c256-66,and now W for whale
77e29639c256-67,You can see a blue whale.
77e29639c256-68,Connect the dots to complete the letter.
77e29639c256-69,Now here is donkey. You can connect the dots to complete the letter D.
77e29639c256-70,D for Donkey
77e29639c256-71,Page 33
77e29639c256-72,Say aloud. A-M am
77e29639c256-73,H-E He.  I-F
77e29639c256-74,if. I-N in
77e29639c256-75,I-S is.
77e29639c256-76,I-T it. M-E ME. M
77e29639c256-77,Y my. N-O-No. O.
77e29639c256-78,F of. O N on. S O.
77e29639c256-79,"So, T-O To"
77e29639c256-80,U-S us.
77e29639c256-81,W-E WE. A-L-L
77e29639c256-82,All. A-N-D and
77e29639c256-83,B-A-D bad B-I-G big B-I-T bit
77e29639c256-84,B-U-T But. C-A-N can. C-A-T-Cat. C-R-Y-Cry. D-A-Y-Day. D-O-G-Dog. F-A-T-Fat. L-E-T let. M-E-T met.
77e29639c256-85,N-O-T-Not
77e29639c256-86,O-N-E- one
77e29639c256-87,B-I-G big
77e29639c256-88,R-A-N ran
77e29639c256-89,"R-E-D, red."
77e29639c256-90,S-A-D SAD
77e29639c256-91,S-A-W saw
77e29639c256-92,"S-I-T, sit."
77e29639c256-93,SUN Sun. T-E-N ten
77e29639c256-94,T-H-E the
77e29639c256-95,T-R-Y. Try.
77e29639c256-96,TWO 3
77e29639c256-97,W-A-S was.
77e29639c256-98,W-E-T wet
77e29639c256-99,Y-O-U you.
77e29639c256-100,page 34
77e29639c256-101,Look and read.
77e29639c256-102,Say these words aloud.
77e29639c256-103,Then match them with the pictures by drawing lines.
77e29639c256-104,Bag. Tin
77e29639c256-105,hen pen
77e29639c256-106,tap axe
77e29639c256-107,ant fox cap
77e29639c256-108,cot
77e29639c256-109,Here you can see pictures of the word said.
77e29639c256-110,"axe, tap, can."
77e29639c256-111,bag bed hen Fox
77e29639c256-112,Cap pen
77e29639c256-113,ant
77e29639c256-114,Filling the blanks from the words given above.
77e29639c256-116,B dash G
77e29639c256-117,h dash n.
77e29639c256-118,t dash p
77e29639c256-119,c dash p. t dash n
77e29639c256-120,C dash T
77e29639c256-121,dash n t
77e29639c256-122,p dash n. f dash x
77e29639c256-123,dash x e.
2011b172755b-1,Page 35
2011b172755b-2,Laalu and Peelu
2011b172755b-3,Listen and enjoy this story.
2011b172755b-4,"There was a hen. She had two chicks, Lalu and Peelo. Lalu was red."
2011b172755b-5,He loved red things.
2011b172755b-6,Peelu was yellow. He loved yellow things. One day.
2011b172755b-7,Lalu saw something on a plant. It was red.
2011b172755b-8,He ate it up. Oh no!
2011b172755b-9,It was a red chilli. It was very hot. Lalu's mouth started burning. He screamed.
2011b172755b-10,Mother hen came running. Peelu
2011b172755b-11,"came too, Peelu said."
2011b172755b-12,I'll get something for you.
2011b172755b-13,Peelu brought a yellow laddu. Laalu gobbled up the laddu. His mouth stopped burning.
2011b172755b-15,Mother hen and Lalu kissed Peelu.
2011b172755b-16,A story by Vineeta Krishna.
2011b172755b-17,page 36
2011b172755b-18,New words Chicks
2011b172755b-19,hen hot
2011b172755b-20,Plant Yellow
2011b172755b-21,Let's read. I love plants.
2011b172755b-22,The chicks ran to their mother.
2011b172755b-23,page 36.
2011b172755b-24,Reading is fun.
2011b172755b-25,Name the chicks in the story.
2011b172755b-26,Who liked yellow things?
2011b172755b-27,What did Lalu eat one day?
2011b172755b-28,Let's talk!
2011b172755b-29,Peelu brought a yellow ladoo for lalu.
2011b172755b-30,What are the other things?
2011b172755b-31,Peelu could have brought that are both yellow and sweet.
2011b172755b-32,"Name at least two. Say for example, a mango."
2011b172755b-33,Let's share!
2011b172755b-34,Lalu loves red things.
2011b172755b-35,Peelu loves yellow things.
2011b172755b-36,The color red is called Laal in Hindi.
2011b172755b-37,And yellow is called Peela.
2011b172755b-38,What do you call these colors in your language?
2011b172755b-39,Give names to these chicks using the names of some other colors in your language like...
2011b172755b-40,Lalu is red.
2011b172755b-41,and yellow chick is Peelu.
2011b172755b-42,What would you name the blue chick? And what would you name the black chick?
2011b172755b-43,Page 38
2011b172755b-44,Let's write. Match the chicks.
2011b172755b-45,to the eggs they have hatched from?
2011b172755b-46,One has been done for you.
2011b172755b-47,Trace the letters on the eggs. A-E-I-O-U.
2011b172755b-48,Here in the picture you can see 5 chicks with 5 letters on them.
2011b172755b-49,A E I O U
2011b172755b-50,and then there are 5 cracked eggs.
2011b172755b-51,And on these shells there are some dotted lines and you have to connect them to write the letters and match them with the right chicks.
2011b172755b-52,Let's draw
2011b172755b-53,Trace and colour these flowers. Here are some dotted lines given.
2011b172755b-54,to complete the red rose.
2011b172755b-55,Blue bells.
2011b172755b-56,Connect the dots to complete the blue bells.
2011b172755b-57,"Now, here is a picture given of yellow sun flower. Connect the dots to complete the picture."
2011b172755b-58,Riddle time
2011b172755b-59,Red plus yellow is...
2011b172755b-60,orange.
2011b172755b-61,Red plus blue is purple.
2011b172755b-62,Blue plus yellow is green.
2011b172755b-63,Add white to make them light.
2011b172755b-64,Page 39
2011b172755b-65,Mother hen and the chicks.
2011b172755b-66,Let's act.
2011b172755b-67,"Come to me, Chicks. I want you here."
2011b172755b-68,"What do you want, mother?"
2011b172755b-69,Look at me!
2011b172755b-70,Do what I do down and up. up and down
2011b172755b-71,"Mother, mother, I can do what you do."
2011b172755b-72,Look at me. Down and up.
2011b172755b-73,Up and down.
2011b172755b-74,"Look at me, chicks!"
2011b172755b-75,"Do what I do! Up, down, oh, oh!"
2011b172755b-76,"Oh, little Percy! Percy!"
2011b172755b-77,Adapted from E. H. Grassam
3ab94767fe39-0,Unit 5
3ab94767fe39-1,page 42.
3ab94767fe39-2,"Once, I saw a little bird."
3ab94767fe39-3,Sing and enjoy this poem.
3ab94767fe39-4,"Once I saw a little bird, come hop hop hop."
3ab94767fe39-5,"I cried little bird. Will you stop, stop, stop?"
